ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
17,The Whisperer in the Darkness,brain,brain transfer,,Novel,Taking a human’s brain and putting in a cylinder where it can live indefinitely,brain transfer,1931,2271,341,"dystopia, utopia",Non-invasive,0.26686217,0.379166667,1.420833333,N/A,H.P. Lovecraft,N/A,N/A,5-Jul-31
18,The Metal Giants,brain,"brain transfer, control of the user",,Novel,"An artificial brain that completely mimicked a biological brain with all of its complex patterns of electrical activity that made it conscious. Furthermore, a concept of an artificial eye is also introduced, a machine with an artificial retina that could transmit electrical pulses to this brain and allow it to see.","brain transfer, manipulation",1926,2271,346,"dystopia, utopia",Invasive,0.277456647,0.391836735,1.412244898,N/A,Edmond Hamilton,N/A,N/A,5-Jul-26
19,Frankenstein,brain,"brain transfer, control of the user",,"Movie, Novel",Using a disembodied brain to control another body by wiring it to the body,"brain transfer, manipulation",1818,2271,454,"dystopia, utopia",Invasive,0.449339207,0.577903683,1.28611898,N/A,Mary Shelley,N/A,N/A,"July 5, 1818"
20,Star Trek: Strange New Worlds,helmet,brain washing,,TV Series,"A neural dampener
 or neural dampening device
 was a device worn on the head ,designed to reduce electrical
 activity in the brain.",brainwash,2022,2026,5,dystopia,Non-invasive,0,0,0.033557047,Neural Dampener,"Eugene Roddenberry, Jenny Lumet, Trevor Roth",Paramount+,"CBS Studios, H M R X Productions, Roddenberry Entertainment, Secret Hideout, Weed Road Pictures",28-Jun-22
21,Star Trek: Strange New Worlds,"paste, stone",consciousness transfer,,TV Series,"Reversing katric transfer by applying ground Nivallan sea urchin (aquatic animal) paste to the foreheads
of two hosts who swiped bodies. The paste is chosen for its match to the natural electromagnetism
 of Vulcan skin. Then cortical stimulation is applied through a series of crystals placed in the paste, matching the original brain patterns of the host bodies.
","consciousness, mind-sharing",2022,2221,200,"dystopia, utopia",Non-invasive,0,0,1.342281879,N/A,"Eugene Roddenberry, Jenny Lumet, Trevor Roth",Paramount+,"CBS Studios, H M R X Productions, Roddenberry Entertainment, Secret Hideout, Weed Road Pictures",28-Jun-22
22,Halo Alpha,implant,"knowledge upload, physical enhancement, tracking",,"BOOK, TV Series, game","The standard neural interface has basic functions. It acts as a ""friend or foe"" indicator, so that radar signatures will pick up the owner's signature and identify it as friendly. This way, the wearer appears as a ""yellow"" blip on the motion tracker of another soldier's HUD and friendly fire is less likely. It also shows the targeting reticle of the gun chosen. They work only within a limited range, again because its primary purpose is to avoid friendly fire.
The neural interface is implanted at the base of the skull and cannot be removed without killing its owner or through sophisticated surgery. The standard interface is implanted in all UNSC military personnel upon activation, but it can be replaced with a more specialized neural lace should the need arise.
Ship commanders receive command neural interfaces, while the SPARTAN-IIs have received the more specialized Spartan Neural Interface.","access, military, network",2001,2041,41,"dystopia, utopia",Invasive,0.512195122,0.123529412,0.241176471,Neural Interface,"Bungie, Joseph Staten",XBox,Microsoft Game Studios,28-Jun-01
23,Halo Alpha,implant,"knowledge upload, linking, physical enhancement",,"BOOK, TV Series, game","The Spartan Neural Interface is an upgrade of the standard Neural Interface that is used by the UNSC SPARTAN-II supersoldiers. The Spartan Neural Interface was implanted in the Spartans upon the reception of their MJOLNIR Mark V armor.
It is assumed that, like the Neural Interface from which it is derived, it may not be removed without advanced surgery or killing the host. In addition to the standard functions of a Neural Interface, the Spartan Neural Interface is unique in that it is designed to allow an AI to directly interface with the Spartan's brain. Therefore, the AI is said to reside both inside the armor and inside the wearer's mind. Essentially, it is in both places at once. The interface allows the AI access to most of the suit's internal systems, though the Spartan has override control. The AI is capable of significantly improving the data transfer rate between the motor cortex of the Spartan and the MJOLNIR's processing unit, further improving the Spartan's already lightning-quick reaction time.
The AI Data Crystal Chip is inserted into a socket near the base of the Spartan's skull in the Mjolnir Armor.","access, military, network",2001,2121,121,"dystopia, utopia",Invasive,0.173553719,0.123529412,0.711764706,Spartan Neural Interface,"Bungie, Joseph Staten",XBox,Microsoft Game Studios,28-Jun-01
24,Halo Alpha,hologram,AGI creation,,"BOOK, TV Series, game","Cognitive Impression Modeling is a technique used by human
scientists to create Smart artificial intelligences by scanning a human brain, referred to as a donor brain.
As the brain is destroyed in the process, CIM will only be used on the recently deceased or on a flash clone of a living human.","AI, consciousness",2001,2121,121,dystopia,Invasive,0.173553719,0.123529412,0.711764706,Cognitive Impression Modeling,"Bungie, Joseph Staten",XBox,Microsoft Game Studios,28-Jun-01
25,Halo,brain liquid,AGI creation,,"BOOK, TV Series, game","Neural Substrate Acquisition is a technique used by 
scientists to create Smart artificial intelligences by extracting a liquid from a human brain, referred to as a donor brain.
As the brain is destroyed in the process, it will only be used on the recently deceased or on a flash clone of a living human.","AI, consciousness",2022,2121,100,"dystopia, utopia",Invasive,0,0,0.67114094,Neural Substrate Acquisition,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",28-Jun-22
26,Halo,"chair, stand-alone electrodes","XR, projection",,"BOOK, TV Series, game","Astral projection technology, which places the wearer in the room, visible only to one another, as they both lie on a chair.",telepresence,2022,2121,100,"dystopia, utopia",Non-invasive,0,0,0.67114094,N/A,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",28-Jun-22
27,Halo,stand-alone electrodes,"health monitoring, recording brain activity",,"BOOK, TV Series, game",Electrodes placed on t he temples and/or neck to monitor vitals including brain activity.,healthcare,2022,2121,100,"dystopia, utopia",Non-invasive,0,0,0.67114094,N/A,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",28-Jun-22
28,Halo,"brain liquid, implant","AGI creation, control of the user, knowledge upload, linking, manipulation, physical enhancement",,"BOOK, TV Series, game",A surgery of implanting Neural Substrate in a living brain of a soldier to create Smart artificial intelligences (AI) which reside within him. The AI can shut down the soldier’s brain.,"AI, consciousness, military",2022,2121,100,"dystopia, utopia",Invasive,0,0,0.67114094,N/A,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks",28-Jun-22
29,Halo Alpha,implant,"knowledge upload, linking, storage",,"BOOK, TV Series, game","Command Neural Interface or CNI implants are implanted in the brain of every UNSC ship commander. In addition to the duties of a standard Neural Interface, they also have several purposes specific to a ship commander.
Once installed, they cannot be removed without killing the host or doing permanent damage to the host's brain without sophisticated surgery that is designed for this purpose. Their main use is the storage of data codes, NAV data, and also for receiving telemetry from outside sources. AIs can access the lace with the owner's consent and retrieve data for use. The owner of the lace can also receive data about the ship they command, sent directly to their retinas courtesy of the shipboard AI.","access, military, network",2004,2121,118,"dystopia, utopia",Invasive,0.152542373,0.107784431,0.706586826,Command Neural Interface,"Bungie, Joseph Staten",XBox,Microsoft Game Studios,28-Jun-04
30,Dr. Brain,helmet,"linking, memory",,"TV Series, webtoon",Hacking into the brains of the deceased in order to go through their memories to solve their murders,memories,2021,2121,101,"dystopia, utopia",Non-invasive,0.00990099,0.006666667,0.673333333,Brain Sync,"Hongjacga, Kim Jee-woon, Kim Jin A, Koh YoungJae",Apple Inc.,"Bound Entertainment, Dark Circle Pictures, Kakao Entertainment, StudioPlex",25-Jun-21
31,Tales of the Unusual,helmet,reality,,Movie,"Virtual reality simulation machine that projects prediction of the marriage between two people into their brain. It is watched as a movie. The creators of the machine warn the couples that the final ‘rendering’, ‘movie’ - is not final version of the events as it can change based on one’s feelings and actions.",VR,2000,2171,172,"dystopia, utopia",Non-invasive,0.127906977,0.128654971,1.005847953,Marriage Simulation System,"Hisao Ogura, Mamoru Hoshi, Masayuki Ochiai, Masayuki Suzuki",Toho,"Fuji Television, Pony Canyon, Toho (Japan)",14-Mar-00
32,"America Dad, Who Smarted","deep brain stimulation, implant",knowledge upload,,sitcom,A procedure to increase intelligence levels. The effect can be voided by smoking weed.,"enhancement, knowledge",2021,2171,151,"dystopia, utopia",Invasive,0.006622517,0.006666667,1.006666667,N/A,"Joe Chandler, Matt Weitzman, Mike Barker, Nic Wegener, Seth MacFarlane, Zachary Rosenblatt",20th Television,"20th Television, 20th Television Animation, Fuzzy Door Productions, Underdog Productions",10-Mar-21
33,Guardians,implant,"exoskeleton, generating electricity, robot/object control",,Movie,Repair of a damaged body into a cyborg with a brain implant which gives the power to generate electricity and control machines.,"military, violence",2017,2221,205,"dystopia, utopia",Invasive,0.024390244,0.032467532,1.331168831,N/A,"Andrei Gavrilov, Sarik Andreasyan",Turbo Films,"Argunov Studio, Enjoy Movies, Renovatio",10-Mar-17
34,InControl,stand-alone electrodes,"control of the user, manipulation",,Movie,"Device that allows to take control of others’ bodies, and experience the world through someone else",manipulation,2017,2171,155,dystopia,Non-invasive,0.032258065,0.032467532,1.006493506,N/A,Kurtis David Harder,N/A,"Digital Interference Productions, Umbrella Collective Films",10-Mar-17
35,"Futurama, Fun on a Bun",tool,memory,,sitcom,machine looking like hair color processor used to delete one’s explicit memories about someone,memories,2012,2146,135,"dystopia, utopia",Non-invasive,0.074074074,0.062893082,0.849056604,N/A,"Dan Vebber, Stephen Sandoval",20th Television,"20th Television, The Curiosity Company",10-Mar-12
36,Solar Opposites,gun,memory,,sitcom,Tool to erase memories,memories,2021,2146,126,"dystopia, utopia",Non-invasive,0.007936508,0.006666667,0.84,Memory Zapper,"Anthony Chun, J. Michael Mendel, Josh Bycel, Justin Roiland, Mike McMahan, Sydney Ryan",Disney Platform Distribution,"20th Television, 20th Television Animation, Important Science, Justin Roiland's Solo Vanity Card Productions!",10-Mar-21
37,Chaos Walking ,virus,reading thoughts,,"Movie, Novel","Noise, a virus which causes everyone to see and hear each other's thoughts",telepathy,2008,2071,64,"dystopia, utopia",Non-invasive,0.21875,0.085889571,0.392638037,Noise,"Doug Liman, Patrick Ness",Lionsgate,"3 Arts Entertainment, Allison Shearmur Productions, Hercules Film Fund-Bron Creative, Quadrant Pictures, TIK Films",10-Mar-08
38,"Game of Tones, Futurama",tool,"communication, reading thoughts",,sitcom,"Thoughtspikes appear to be disposable devices that allow the user to communicate without speaking. Thoughtspikes are pointed on one end, and grow into a larger, trumpet-like shape at the other end. To use, you put the pointy end into your forehead, and it speaks your thoughts through the other end (though it has only been seen translating thoughts into English, it may be able to translate thoughts into any language).",communication,2013,2031,19,"dystopia, utopia",Semi-invasive,0.473684211,0.056962025,0.120253165,Thoughtspike,"Edmund Fong, Michael Rowe",20th Television,"20th Television, The Curiosity Company",10-Mar-13
39,Doom Patrol,helmet,"reading thoughts, telepathy",,comics,"A helmet that amplifies one’s own latent psychic powers. While wearing the helmet, Mento has the powers of telepathy, psychokinesis, intangibility, and limited mind control. The helmet has the negative side effect of increasing Mento 's paranoia and dementia. ",telepathy,1964,2031,68,"dystopia, utopia",Non-invasive,0.852941176,0.280193237,0.328502415,Mento-Helmet,"Arnold Drake, Bob Haney, Bruno Premiani",N/A,N/A,10-Mar-64
40,The Matrix Resurrections,"implant, tank with water","XR, consciousness transfer, reality",,Movie,"transfer of the mind of a person from Matrix to real world without use of a pill, another human brain is needed for this procedure",consciousness,2021,2171,151,"dystopia, utopia",Invasive,0.006622517,0.006666667,1.006666667,N/A,"Grant Hill, James McTeigue, Lana Wachowski",Warner Bros. Pictures,"Venus Castina Productions, Village Roadshow Pictures, Warner Bros. Pictures",10-Mar-21
41,Spiderman: No Way Home,N/A,"robot/object control, telepathy",,Movie,"Electro made Spider-Man beg by stimulating the bioelectric currents in his brain, and was able to defeat Nate Grey
 by manipulating said currents in Nate's brain to turn his own psionic powers against him. Electro can override any electrically powered device and manipulate it according to his mental commands.",telepathy,2021,2171,151,"dystopia, utopia",Non-invasive,0.006622517,0.006666667,1.006666667,Electro,"Amy Pascal, Kevin Feige",Sony Pictures Releasing,"Columbia Pictures, Marvel Studios, Pascal Pictures",1-Jan-21
42,Futurama,tool,reading thoughts,,sitcom,"""Legion of Mad Fellows"", a secret society of tinfoil hat-wearing telepaths",telepathy,2009,2046,38,dystopia,Non-invasive,0.342105263,0.080246914,0.234567901,N/A,"Claudia Katz, Lee Supercinski",20th Century Fox,"Rough Draft Studios, The Curiosity Company",17-Nov-09
43,The Beyond,exoskeleton,consciousness transfer,,Movie,Human 2.0 was designed to fuse human brains with synthetic bodies to create more robust soldiers.,"consciousness, military",2017,2121,105,"dystopia, utopia",Invasive,0.047619048,0.032467532,0.681818182,Human 2.0,Hasraf Dulull,Gravitas Ventures,N/A,17-Nov-17
44,Æon Flux,drug,telepathy,,"Movie, TV Series",drug-pill used for telepathic connection ,telepathy,2005,2071,67,utopia,Non-invasive,0.253731343,0.102409639,0.403614458,N/A,"David Gale, Gale Anne Hurd, Gary Lucchesi, Greg Goodman, Peter Chung",Paramount Pictures,"Lakeshore Entertainment, MTV Films, Valhalla Motion Pictures",17-Nov-05
45,The 5th Wave,tool,recording brain activity,,Movie,scanner used to detect if the person is infected with the alien ,distance interfacing,2016,2031,16,dystopia,Non-invasive,0.375,0.038709677,0.103225806,N/A,"Graham King, Lynn Harris, Matthew Plouffe, Tobey Maguire",Sony Pictures Releasing,"Columbia Pictures, GK Films, LStar Capital, Living Films, Material Pictures",17-Nov-16
46,Futurama,"implant, tool",emotions,,sitcom,measuring engagement of the audience while they watch TV show,"emotions, engagement",2003,2021,19,"dystopia, utopia",Invasive,1,0.113095238,0.113095238,N/A,"David X. Cohen, Ken Keeler, Matt Groening",20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",17-Nov-03
47,Foundation ,implant,linking,,TV Series,The navigator's brain had to be hardwired into the ship via an implant and could direct a jump with a wish.,piloting,2021,2031,11,"dystopia, utopia",Invasive,0.090909091,0.006666667,0.073333333,N/A,"Dana Goldberg, David Ellison, David S. Goyer",Apple Inc.,"Phantom Four, Skydance Television",17-Nov-21
48,American Dad,tool,memory,,sitcom,It has the ability to wipe the mind of anybody who sees the flash via isolating and editing certain electronic impulses related to memory. ,memories,2016,2146,131,dystopia,non-contact,0.045801527,0.038709677,0.84516129,Memory Neutralizer,"Matt Weitzman, Seth MacFarlane","Disney-ABC, TBS","20th Television, Fuzzy Door Productions, Underdog Productions",9-Nov-16
49,American Dad,tool,emotions,,sitcom,Machine that scans your brain to detect a perfect type of weed for your personality ,N/A,2019,2041,23,"dystopia, utopia","Non-invasive, non-contact",0.130434783,0.019736842,0.151315789,N/A,"Matt Weitzman, Seth MacFarlane","Disney-ABC, TBS","20th Television, Fuzzy Door Productions, Underdog Productions",9-Nov-19
50,American Dad,helmet,consciousness transfer,,sitcom,The mind-swap program of CIA: consciousness transfer tool used a lot on animals to make them cute and make them spy for the government,consciousness,2009,2321,313,dystopia,Non-invasive,0.041533546,0.080246914,1.932098765,N/A,"Matt Weitzman, Mike Barker, Seth MacFarlane","Disney-ABC, Fox","20th Television, Fuzzy Door Productions, Underdog Productions",9-Nov-09
51,Warehouse 13,helmet,recording brain activity,,TV Series,"Monitors a person's brainwaves and tracks the degree to which a person's brain capacity (in the case of the episode, Mrs Frederic's) is affected by an external artifact or psychic connection.",distance interfacing,2010,2071,62,"dystopia, utopia",Non-invasive,0.193548387,0.074534161,0.385093168,Neural Assessor,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,17-Oct-10
52,Warehouse 13,"helmet, tool",consciousness transfer,,TV Series,"the time machine is a ""temporal consciousness transfer engine"". It has a rather psychometric effect, allowing the user to inhabit the body of someone in the past, specifically for 22 hours and 19 minutes. H.G. Wells' Time Machine is not, as in her novel, a physical transport device carrying the user(s) back (or forwards) in time, rather it is based on Gestalt psychology principles, and employs the ""web"" of the collective unconscious to allow the user to target and inhabit a known individual at a specific time in the past. The maximum duration of the trip through time is 22 hours and 19 minutes; as soon as this time is over the user(s) return to their own bodies in their own time period. However, if the time machine is damaged while in use the user(s) consciousnesses will be lost forever as soon as time runs out.",consciousness,2010,3021,1012,"dystopia, utopia",Non-invasive,0.011857708,0.074534161,6.285714286,H.G. Wells' Time Machine,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,17-Oct-10
53,Warehouse 13,Zoetrope,consciousness transfer,,TV Series,"A Zoetrope that once belonged to Max Wertheimer which possesses mind transferring capabilities. The Zoetrope creates a moving image of a couple dancing. When the Zoetrope spins clockwise, the mind of a person viewing the moving picture imprints into the Zoetrope. A second person can then view the imprint by touching the Zoetrope, or reverse the process by spinning it counter-clockwise. If the Zoetrope is physically attached to an adequate vessel, it will dump the user's mind into it instead of just imprinting. Hugo Miller used the zoetrope when he built the ""AI"" for Warehouse 13. He hooked the zoetrope up to the computer system and attempted to imprint himself on the computer. He only partially succeeded, in that the left half of his brain made the transfer, leaving only the right in his body. The Warehouse agents reversed the process, reintegrating the physical Hugo with the virtual Hugo. Real-world connections
Max Wertheimer is considered one of the founders of modern psychology. Apocryphally, it's told that Wertheimer made his first studies using a motion picture toy called a zoetrope.",consciousness,2010,2271,262,dystopia,non-contact,0.045801527,0.074534161,1.627329193,Max Wertheimer's Zoetrope,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,17-Oct-10
54,Warehouse 13,pearl,"control of the user, manipulation, reading thoughts",,TV Series,"The user places the Pearl in the ear of an intended victim, where it attaches to the inner ear. The process induces terrible nightmares in the victim, and once attached, allows the person who placed the Pearl to control the thoughts and actions of the victim. The Pearl can only be removed by bringing the victim to the point of death, whereupon the Pearl detaches itself from the victim's brain and rolls out of the ear canal. The Pearl can be manipulated by a large, unnamed Amber Orb to explore the memories of the person with the Pearl in their ear.","brainwash, manipulation",2009,2221,213,dystopia,Invasive,0.061032864,0.080246914,1.314814815,Pearl of Wisdom,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,17-Oct-09
55,"Warehouse 13, Pilot",hair tool,control of the user,,TV Series,"Lucrezia Borgia's Comb was created by an unidentified Renaissance alchemist. It transmits the mindset of Lucrezia Borgia via the crystals and ionized metal of the comb and grants the user mind controlling abilities, though at the price of great personal jealousy and anger. The comb also uses a phonetic trigger written in Italian: Se li uomini sapessino le cagioni della paura mia, capir potrebbero il mio dolor (which translates to: if people knew the reasons for my fear, they'd be able to understand my pain). This comb comes with a book-shaped jewellery box, within which the phonetic trigger can be found. Whoever the comb takes control of, it makes that person have a deep yearning to be loved, just like Lucrezia had. However, the wearer will do anything to obtain love, and usually begins a bloody reign of terror and destruction. The comb also has mind control powers; when the user reads the trigger aloud, the comb releases a bright light that alters the brain chemistry of anybody that sees it and essentially brainwashes them. The indicator that a person is brainwashed is that they keep repeating the trigger. The wearer will have a hole in their heart that will be filled after everybody everywhere is in love with them or is dead. If the comb is neutralized, light seems to shoot out of its victims and return to it and all the comb's victims have no idea what they did or what happened.",manipulation,2009,2221,213,dystopia,Non-invasive,0.061032864,0.080246914,1.314814815,Lucrezia Borgia's comb,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,12-Oct-09
56,"Warehouse 13, Implosion",firework,control of the user,,TV Series,"Ice Flower: A 14th century Chinese firework that when it explodes, it releases a sustaining pattern of light that mesmerizes those who see it and triggers a feedback loop in the optic nerve which results in people not remembering anything during the approximate 10 minutes in which it lasts.","manipulation, memories",2009,2031,23,dystopia,non-contact,0.565217391,0.080246914,0.141975309,Ice Flower,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,12-Oct-09
57,"Warehouse 13, Resonance",audio recording,"control of the user, emotions",,TV Series,"Euphoria Record - a vinyl record, recorded by composer Eric Marsden. The tonality of the music, combined with the proper resonance, causes intense feelings of joy and euphoria in the listener, so extreme that they are briefly incapacitated. The effects can be blocked with headphones or earplugs.","emotions, pleasure",2009,2031,23,dystopia,non-contact,0.565217391,0.080246914,0.141975309,Euphoria Record,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions,12-Oct-09
58,American Dad,headphones,memory,,sitcom,Recording memories of the user to reconstruct them in a hologramdeck for training purposes,memories,2014,2071,58,"dystopia, utopia",Non-invasive,0.137931034,0.050955414,0.369426752,N/A,"Mike Barker, Seth MacFarlane",20th Television,"Fuzzy Door Productions, Underdog Productions",5-Oct-14
59,Black Mirror,implant,"XR, consciousness transfer",,TV Series,"Infinity is a virtual reality simulation game similar to what’s seen in other “Black Mirror” episodes like “Playtest” and “San Junipero.” Users access the game through neural devices that take their consciousness straight into the game. They then feel like they are living in the virtual world while their physical bodies are shut down and unresponsive. Unlike other versions of the tech in “Black Mirror,” though, there doesn’t seem to be the need for a physical implant into the brain for Infinity to work.
Another aspect of Infinity is that it seems possible for a consciousness to get trapped in the game world, and for issues with the interface to actually damage the brain of or kill a user.","XR, consciousness, gaming",2017,2071,55,dystopia,Invasive,0.090909091,0.032467532,0.357142857,Infinity,Charlie Brooker,Netflix,House of Tomorrow,5-Oct-17
