[id] ID,[title] TITLE,[date] DATE,[sem] Description,[cat] Form-factor,[cat] Category of BCI,[cat] Type of Media,[cat] Keywords,[quant] Date,[quant] Prediction,[quant] BCI forecast,[quant] Reality factor,[quant] Neurafictionality,[quant] Neuroptimism,[quant] Utopianism,[quant] Invasiveness,[cat] Author/Directed by,[cat] Distributed by,[cat] Production Company
22,Halo Alpha,2001,"The standard neural interface has basic functions. It acts as a ""friend or foe"" indicator, so that radar signatures will pick up the owner's signature and identify it as friendly. This way, the wearer appears as a ""yellow"" blip on the motion tracker of another soldier's HUD and friendly fire is less likely. It also shows the targeting reticle of the gun chosen. They work only within a limited range, again because its primary purpose is to avoid friendly fire.
The neural interface is implanted at the base of the skull and cannot be removed without killing its owner or through sophisticated surgery. The standard interface is implanted in all UNSC military personnel upon activation, but it can be replaced with a more specialized neural lace should the need arise.
Ship commanders receive command neural interfaces, while the SPARTAN-IIs have received the more specialized Spartan Neural Interface.",implant,"knowledge upload, physical enhancement, tracking","BOOK, TV Series, game","access, military, network",2001,2041,41,0.51219512,0.12352941,0.03633839,0.5,0.75,"Bungie, Joseph Staten",XBox,Microsoft Game Studios
23,Halo Alpha,2001,"The Spartan Neural Interface is an upgrade of the standard Neural Interface that is used by the UNSC SPARTAN-II supersoldiers. The Spartan Neural Interface was implanted in the Spartans upon the reception of their MJOLNIR Mark V armor.
It is assumed that, like the Neural Interface from which it is derived, it may not be removed without advanced surgery or killing the host. In addition to the standard functions of a Neural Interface, the Spartan Neural Interface is unique in that it is designed to allow an AI to directly interface with the Spartan's brain. Therefore, the AI is said to reside both inside the armor and inside the wearer's mind. Essentially, it is in both places at once. The interface allows the AI access to most of the suit's internal systems, though the Spartan has override control. The AI is capable of significantly improving the data transfer rate between the motor cortex of the Spartan and the MJOLNIR's processing unit, further improving the Spartan's already lightning-quick reaction time.
The AI Data Crystal Chip is inserted into a socket near the base of the Spartan's skull in the Mjolnir Armor.",implant,"knowledge upload, linking, physical enhancement","BOOK, TV Series, game","access, military, network",2001,2121,121,0.17355372,0.12352941,0.11136279,0.5,0.75,"Bungie, Joseph Staten",XBox,Microsoft Game Studios
24,Halo Alpha,2001,"Cognitive Impression Modeling is a technique used by human
scientists to create Smart artificial intelligences by scanning a human brain, referred to as a donor brain.
As the brain is destroyed in the process, CIM will only be used on the recently deceased or on a flash clone of a living human.",hologram,AGI creation,"BOOK, TV Series, game","AI, consciousness",2001,2121,121,0.17355372,0.12352941,0.11136279,0,0.75,"Bungie, Joseph Staten",XBox,Microsoft Game Studios
25,Halo,2022,"Neural Substrate Acquisition is a technique used by 
scientists to create Smart artificial intelligences by extracting a liquid from a human brain, referred to as a donor brain.
As the brain is destroyed in the process, it will only be used on the recently deceased or on a flash clone of a living human.",brain liquid,AGI creation,"BOOK, TV Series, game","AI, consciousness",2022,2121,100,0,0,0.10488627,0.5,0.75,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks"
26,Halo,2022,"Astral projection technology, which places the wearer in the room, visible only to one another, as they both lie on a chair.","chair, stand-alone electrodes","XR, projection","BOOK, TV Series, game",telepresence,2022,2121,100,0,0,0.10488627,0.5,0.25,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks"
27,Halo,2022,Electrodes placed on t he temples and/or neck to monitor vitals including brain activity.,stand-alone electrodes,"health monitoring, recording brain activity","BOOK, TV Series, game",healthcare,2022,2121,100,0,0,0.10488627,0.5,0.25,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks"
28,Halo,2022,A surgery of implanting Neural Substrate in a living brain of a soldier to create Smart artificial intelligences (AI) which reside within him. The AI can shut down the soldier’s brain.,"brain liquid, implant","AGI creation, control of the user, knowledge upload, linking, manipulation, physical enhancement","BOOK, TV Series, game","AI, consciousness, military",2022,2121,100,0,0,0.10488627,0.5,0.75,"Kyle Killen, Steven Kane, Steven Spielberg",Paramount Global Distribution Group,"343 Industries, Amblin Television, Chapter Eleven, One Big Picture, Showtime Networks"
29,Halo Alpha,2004,"Command Neural Interface or CNI implants are implanted in the brain of every UNSC ship commander. In addition to the duties of a standard Neural Interface, they also have several purposes specific to a ship commander.
Once installed, they cannot be removed without killing the host or doing permanent damage to the host's brain without sophisticated surgery that is designed for this purpose. Their main use is the storage of data codes, NAV data, and also for receiving telemetry from outside sources. AIs can access the lace with the owner's consent and retrieve data for use. The owner of the lace can also receive data about the ship they command, sent directly to their retinas courtesy of the shipboard AI.",implant,"knowledge upload, linking, storage","BOOK, TV Series, game","access, military, network",2004,2121,118,0.15254237,0.10778443,0.1105373,0.5,0.75,"Bungie, Joseph Staten",XBox,Microsoft Game Studios
30,Dr. Brain,2021,Hacking into the brains of the deceased in order to go through their memories to solve their murders,helmet,"linking, memory","TV Series, webtoon",memories,2021,2121,101,0.00990099,0.00666667,0.1052358,0.5,0.25,"Hongjacga, Kim Jee-woon, Kim Jin A, Koh YoungJae",Apple Inc.,"Bound Entertainment, Dark Circle Pictures, Kakao Entertainment, StudioPlex"
31,Tales of the Unusual,2000,"Virtual reality simulation machine that projects prediction of the marriage between two people into their brain. It is watched as a movie. The creators of the machine warn the couples that the final ‘rendering’, ‘movie’ - is not final version of the events as it can change based on one’s feelings and actions.",helmet,reality,Movie,VR,2000,2171,172,0.12790698,0.12865497,0.15824755,0.5,0.25,"Hisao Ogura, Mamoru Hoshi, Masayuki Ochiai, Masayuki Suzuki",Toho,"Fuji Television, Pony Canyon, Toho (Japan)"
32,"America Dad, Who Smarted",2021,A procedure to increase intelligence levels. The effect can be voided by smoking weed.,"deep brain stimulation, implant",knowledge upload,sitcom,"enhancement, knowledge",2021,2171,151,0.00662252,0.00666667,0.15837808,0.5,0.75,"Joe Chandler, Matt Weitzman, Mike Barker, Nic Wegener, Seth MacFarlane, Zachary Rosenblatt",20th Television,"20th Television, 20th Television Animation, Fuzzy Door Productions, Underdog Productions"
33,Guardians,2017,Repair of a damaged body into a cyborg with a brain implant which gives the power to generate electricity and control machines.,implant,"exoskeleton, generating electricity, robot/object control",Movie,"military, violence",2017,2221,205,0.02439024,0.03246753,0.21011244,0.5,0.75,"Andrei Gavrilov, Sarik Andreasyan",Turbo Films,"Argunov Studio, Enjoy Movies, Renovatio"
34,InControl,2017,"Device that allows to take control of others’ bodies, and experience the world through someone else",stand-alone electrodes,"control of the user, manipulation",Movie,manipulation,2017,2171,155,0.03225807,0.03246753,0.15835047,0,0.25,Kurtis David Harder,N/A,"Digital Interference Productions, Umbrella Collective Films"
35,"Futurama, Fun on a Bun",2012,machine looking like hair color processor used to delete one’s explicit memories about someone,tool,memory,sitcom,memories,2012,2146,135,0.07407407,0.06289308,0.1332508,0.5,0.25,"Dan Vebber, Stephen Sandoval",20th Television,"20th Television, The Curiosity Company"
36,Solar Opposites,2021,Tool to erase memories,gun,memory,sitcom,memories,2021,2146,126,0.00793651,0.00666667,0.13180694,0.5,0.25,"Anthony Chun, J. Michael Mendel, Josh Bycel, Justin Roiland, Mike McMahan, Sydney Ryan",Disney Platform Distribution,"20th Television, 20th Television Animation, Important Science, Justin Roiland's Solo Vanity Card Productions!"
37,Chaos Walking ,2008,"Noise, a virus which causes everyone to see and hear each other's thoughts",virus,reading thoughts,"Movie, Novel",telepathy,2008,2071,64,0.21875,0.08588957,0.06048543,0.5,0.25,"Doug Liman, Patrick Ness",Lionsgate,"3 Arts Entertainment, Allison Shearmur Productions, Hercules Film Fund-Bron Creative, Quadrant Pictures, TIK Films"
38,"Game of Tones, Futurama",2013,"Thoughtspikes appear to be disposable devices that allow the user to communicate without speaking. Thoughtspikes are pointed on one end, and grow into a larger, trumpet-like shape at the other end. To use, you put the pointy end into your forehead, and it speaks your thoughts through the other end (though it has only been seen translating thoughts into English, it may be able to translate thoughts into any language).",tool,"communication, reading thoughts",sitcom,communication,2013,2031,19,0.47368421,0.05696203,0.01705997,0.5,0.5,"Edmund Fong, Michael Rowe",20th Television,"20th Television, The Curiosity Company"
39,Doom Patrol,1964,"A helmet that amplifies one’s own latent psychic powers. While wearing the helmet, Mento has the powers of telepathy, psychokinesis, intangibility, and limited mind control. The helmet has the negative side effect of increasing Mento 's paranoia and dementia. ",helmet,"reading thoughts, telepathy",comics,telepathy,1964,2031,68,0.85294118,0.28019324,0.05026049,0.5,0.25,"Arnold Drake, Bob Haney, Bruno Premiani",N/A,N/A
40,The Matrix Resurrections,2021,"transfer of the mind of a person from Matrix to real world without use of a pill, another human brain is needed for this procedure","implant, tank with water","XR, consciousness transfer, reality",Movie,consciousness,2021,2171,151,0.00662252,0.00666667,0.15837808,0.5,0.75,"Grant Hill, James McTeigue, Lana Wachowski",Warner Bros. Pictures,"Venus Castina Productions, Village Roadshow Pictures, Warner Bros. Pictures"
41,Spiderman: No Way Home,2021,"Electro made Spider-Man beg by stimulating the bioelectric currents in his brain, and was able to defeat Nate Grey
 by manipulating said currents in Nate's brain to turn his own psionic powers against him. Electro can override any electrically powered device and manipulate it according to his mental commands.",N/A,"robot/object control, telepathy",Movie,telepathy,2021,2171,151,0.00662252,0.00666667,0.15837808,0.5,0.25,"Amy Pascal, Kevin Feige",Sony Pictures Releasing,"Columbia Pictures, Marvel Studios, Pascal Pictures"
42,Futurama,2009,"""Legion of Mad Fellows"", a secret society of tinfoil hat-wearing telepaths",tool,reading thoughts,sitcom,telepathy,2009,2046,38,0.34210526,0.08024691,0.03528481,0,0.25,"Claudia Katz, Lee Supercinski",20th Century Fox,"Rough Draft Studios, The Curiosity Company"
43,The Beyond,2017,Human 2.0 was designed to fuse human brains with synthetic bodies to create more robust soldiers.,exoskeleton,consciousness transfer,Movie,"consciousness, military",2017,2121,105,0.04761905,0.03246753,0.10658851,0.5,0.75,Hasraf Dulull,Gravitas Ventures,N/A
44,Æon Flux,2005,drug-pill used for telepathic connection ,drug,telepathy,"Movie, TV Series",telepathy,2005,2071,67,0.25373134,0.10240964,0.06223537,1,0.25,"David Gale, Gale Anne Hurd, Gary Lucchesi, Greg Goodman, Peter Chung",Paramount Pictures,"Lakeshore Entertainment, MTV Films, Valhalla Motion Pictures"
45,The 5th Wave,2016,scanner used to detect if the person is infected with the alien ,tool,recording brain activity,Movie,distance interfacing,2016,2031,16,0.375,0.03870968,0.01434535,0,0.25,"Graham King, Lynn Harris, Matthew Plouffe, Tobey Maguire",Sony Pictures Releasing,"Columbia Pictures, GK Films, LStar Capital, Living Films, Material Pictures"
46,Futurama,2003,measuring engagement of the audience while they watch TV show,"implant, tool",emotions,sitcom,"emotions, engagement",2003,2021,19,1,0.11309524,0.0159188,0.5,0.75,"David X. Cohen, Ken Keeler, Matt Groening",20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company"
47,Foundation ,2021,The navigator's brain had to be hardwired into the ship via an implant and could direct a jump with a wish.,implant,linking,TV Series,piloting,2021,2031,11,0.09090909,0.00666667,0.00957969,0.5,0.75,"Dana Goldberg, David Ellison, David S. Goyer",Apple Inc.,"Phantom Four, Skydance Television"
48,American Dad,2016,It has the ability to wipe the mind of anybody who sees the flash via isolating and editing certain electronic impulses related to memory. ,tool,memory,sitcom,memories,2016,2146,131,0.04580153,0.03870968,0.13262979,0,0,"Matt Weitzman, Seth MacFarlane","Disney-ABC, TBS","20th Television, Fuzzy Door Productions, Underdog Productions"
49,American Dad,2019,Machine that scans your brain to detect a perfect type of weed for your personality ,tool,emotions,sitcom,N/A,2019,2041,23,0.13043478,0.01973684,0.02201219,0.5,N/A,"Matt Weitzman, Seth MacFarlane","Disney-ABC, TBS","20th Television, Fuzzy Door Productions, Underdog Productions"
50,American Dad,2009,The mind-swap program of CIA: consciousness transfer tool used a lot on animals to make them cute and make them spy for the government,helmet,consciousness transfer,sitcom,consciousness,2009,2321,313,0.04153355,0.08024691,0.3059168,0,0.25,"Matt Weitzman, Mike Barker, Seth MacFarlane","Disney-ABC, Fox","20th Television, Fuzzy Door Productions, Underdog Productions"
51,Warehouse 13,2010,"Monitors a person's brainwaves and tracks the degree to which a person's brain capacity (in the case of the episode, Mrs Frederic's) is affected by an external artifact or psychic connection.",helmet,recording brain activity,TV Series,distance interfacing,2010,2071,62,0.19354839,0.07453416,0.05928258,0.5,0.25,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions
52,Warehouse 13,2010,"the time machine is a ""temporal consciousness transfer engine"". It has a rather psychometric effect, allowing the user to inhabit the body of someone in the past, specifically for 22 hours and 19 minutes. H.G. Wells' Time Machine is not, as in her novel, a physical transport device carrying the user(s) back (or forwards) in time, rather it is based on Gestalt psychology principles, and employs the ""web"" of the collective unconscious to allow the user to target and inhabit a known individual at a specific time in the past. The maximum duration of the trip through time is 22 hours and 19 minutes; as soon as this time is over the user(s) return to their own bodies in their own time period. However, if the time machine is damaged while in use the user(s) consciousnesses will be lost forever as soon as time runs out.","helmet, tool",consciousness transfer,TV Series,consciousness,2010,3021,1012,0.01185771,0.07453416,1,0.5,0.25,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions
53,Warehouse 13,2010,"A Zoetrope that once belonged to Max Wertheimer which possesses mind transferring capabilities. The Zoetrope creates a moving image of a couple dancing. When the Zoetrope spins clockwise, the mind of a person viewing the moving picture imprints into the Zoetrope. A second person can then view the imprint by touching the Zoetrope, or reverse the process by spinning it counter-clockwise. If the Zoetrope is physically attached to an adequate vessel, it will dump the user's mind into it instead of just imprinting. Hugo Miller used the zoetrope when he built the ""AI"" for Warehouse 13. He hooked the zoetrope up to the computer system and attempted to imprint himself on the computer. He only partially succeeded, in that the left half of his brain made the transfer, leaving only the right in his body. The Warehouse agents reversed the process, reintegrating the physical Hugo with the virtual Hugo. Real-world connections
Max Wertheimer is considered one of the founders of modern psychology. Apocryphally, it's told that Wertheimer made his first studies using a motion picture toy called a zoetrope.",Zoetrope,consciousness transfer,TV Series,consciousness,2010,2271,262,0.04580153,0.07453416,0.25732835,0,0,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions
54,Warehouse 13,2009,"The user places the Pearl in the ear of an intended victim, where it attaches to the inner ear. The process induces terrible nightmares in the victim, and once attached, allows the person who placed the Pearl to control the thoughts and actions of the victim. The Pearl can only be removed by bringing the victim to the point of death, whereupon the Pearl detaches itself from the victim's brain and rolls out of the ear canal. The Pearl can be manipulated by a large, unnamed Amber Orb to explore the memories of the person with the Pearl in their ear.",pearl,"control of the user, manipulation, reading thoughts",TV Series,"brainwash, manipulation",2009,2221,213,0.06103286,0.08024691,0.20750517,0,0.75,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions
55,"Warehouse 13, Pilot",2009,"Lucrezia Borgia's Comb was created by an unidentified Renaissance alchemist. It transmits the mindset of Lucrezia Borgia via the crystals and ionized metal of the comb and grants the user mind controlling abilities, though at the price of great personal jealousy and anger. The comb also uses a phonetic trigger written in Italian: Se li uomini sapessino le cagioni della paura mia, capir potrebbero il mio dolor (which translates to: if people knew the reasons for my fear, they'd be able to understand my pain). This comb comes with a book-shaped jewellery box, within which the phonetic trigger can be found. Whoever the comb takes control of, it makes that person have a deep yearning to be loved, just like Lucrezia had. However, the wearer will do anything to obtain love, and usually begins a bloody reign of terror and destruction. The comb also has mind control powers; when the user reads the trigger aloud, the comb releases a bright light that alters the brain chemistry of anybody that sees it and essentially brainwashes them. The indicator that a person is brainwashed is that they keep repeating the trigger. The wearer will have a hole in their heart that will be filled after everybody everywhere is in love with them or is dead. If the comb is neutralized, light seems to shoot out of its victims and return to it and all the comb's victims have no idea what they did or what happened.",hair tool,control of the user,TV Series,manipulation,2009,2221,213,0.06103286,0.08024691,0.20750517,0,0.25,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions
56,"Warehouse 13, Implosion",2009,"Ice Flower: A 14th century Chinese firework that when it explodes, it releases a sustaining pattern of light that mesmerizes those who see it and triggers a feedback loop in the optic nerve which results in people not remembering anything during the approximate 10 minutes in which it lasts.",firework,control of the user,TV Series,"manipulation, memories",2009,2031,23,0.56521739,0.08024691,0.02052306,0,0,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions
57,"Warehouse 13, Resonance",2009,"Euphoria Record - a vinyl record, recorded by composer Eric Marsden. The tonality of the music, combined with the proper resonance, causes intense feelings of joy and euphoria in the listener, so extreme that they are briefly incapacitated. The effects can be blocked with headphones or earplugs.",audio recording,"control of the user, emotions",TV Series,"emotions, pleasure",2009,2031,23,0.56521739,0.08024691,0.02052306,0,0,"David Simkins, Drew Z. Greenberg, Jack Kenny",NBCUniversal Television Distribution,Universal Cable Productions
58,American Dad,2014,Recording memories of the user to reconstruct them in a hologramdeck for training purposes,headphones,memory,sitcom,memories,2014,2071,58,0.13793103,0.05095541,0.05678493,0.5,0.25,"Mike Barker, Seth MacFarlane",20th Television,"Fuzzy Door Productions, Underdog Productions"
59,Black Mirror,2017,"Infinity is a virtual reality simulation game similar to what’s seen in other “Black Mirror” episodes like “Playtest” and “San Junipero.” Users access the game through neural devices that take their consciousness straight into the game. They then feel like they are living in the virtual world while their physical bodies are shut down and unresponsive. Unlike other versions of the tech in “Black Mirror,” though, there doesn’t seem to be the need for a physical implant into the brain for Infinity to work.
Another aspect of Infinity is that it seems possible for a consciousness to get trapped in the game world, and for issues with the interface to actually damage the brain of or kill a user.",implant,"XR, consciousness transfer",TV Series,"XR, consciousness, gaming",2017,2071,55,0.09090909,0.03246753,0.05482655,0,0.75,Charlie Brooker,Netflix,House of Tomorrow
60,Black Mirror,2016,"MASS is a neural implant that affects soldiers’ perception when they’re on the battlefield. Like the Mushroom game implant, MASS is an augmented reality device that adds information to the user’s perception. In the episode, though, it can also alter the user’s senses and perception. The MASS gives the soldier information about their surroundings as they fight on the battlefield and allows them to communicate with each other, but it’s also used to change what they see and experience to make them more effective.
In “Men Against Fire,” the MASS implant is used to alter soldiers’ perceptions so they see enemy humans as snarling monsters. The creatures are referred to as “roaches” in the episode, but they’re actually people who are victims of a genocidal campaign to “keep the human bloodline pure.” The MASS also suppresses the user’s sense of smell in the episode in order to make them less responsive to the smells of death they encounter. The approach is meant to make soldiers more effective and less likely to feel pangs of conscience when they fight the enemy.",implant,"XR, emotions, manipulation",TV Series,"XR, military, simulations",2016,2041,26,0.23076923,0.03870968,0.02463095,0,0.75,Charlie Brooker,Netflix,House of Tomorrow
61,Rick and Morty,2017,"The Series 9000 Brainalyzer is the device used by Cornvelious Daniel, in The Rickshank Rickdemption, and the Galactic Federation in an attempt to obtain formula for interdimensional travel from Rick's brain. A session of its use will cause the subject's brain to be liquefied, which kills the subject and it also apparently shuts off when the subject's brain is liquified. A modified version of this instrument is used by Rick to switch between the bodies of various characters in his attempt to destroy the Citadel of Ricks and Galactic Federation.

In addition to its tendency to liquify the brains of its subjects in the event of a prolonged session, the Series 9000 appears to have technical limitations on what its 'actors' can do. While the actors in at least most Brainalyzer simulations will follow even the most ridiculous and impossible demands made by the subject (evidenced by Rick's lack of surprise when instructing the simulated Jerry to fold himself), the Series 9000's actors can be distinctly identified by their inability to fold themselves more than six times.","energy beam, helmet, tool","XR, control of the user, termination",sitcom,"XR, assasination, consciousness, manipulation, memories, mind-sharing",2017,2146,130,0.03846154,0.03246753,0.13246949,0,0.25,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season
62,American Dad,2011,brainwashing/behaviour changing device,implant,"brain washing, manipulation",sitcom,brainwash,2011,2071,61,0.18032787,0.06875,0.05866987,0,0.5,Seth MacFarlane,20th Television,"20th Television, Underdog Productions"
63,Futurama,2002,brainwashing tool for robots - upgrading tool,"chair, helmet",control of the user,sitcom,"brainwash, manipulation",2002,2021,20,1,0.1183432,0.01675547,0.5,0.25,"David X. Cohen, Ken Keeler, Matt Groening",20th Television,Rough Draft Studios
